make,model,year,price,mileage,condition,location
Lexus,NX 300h,2020,37759,20247,Used,"Chantilly, VA"
Dodge,Durango,2026,33850,5154,Used,"Florence, KY"
Toyota,Camry,2026,32552,1739,Used,"Fairfield, OH"
Honda,CR-V,2023,28710,23072,Certified,"Cincinnati, OH"
Honda,Passport,2024,35730,15718,Used,"Florence, KY"
Chevrolet,Silverado 1500,2023,33184,62134,Used,"Alexandria, KY"
Jeep,Grand Cherokee L,2024,35124,26791,Certified,"Cincinnati, OH"
Honda,Pilot,2025,40610,11589,Used,"Cincinnati, OH"
Honda,HR-V,2027,32050,0,New,"Cincinnati, OH"
Ford,F350,2024,48278,6823,Used,"Milford, OH"
Honda,HR-V,2027,31600,0,New,"Cincinnati, OH"
Kia,Carnival,2027,52000,0,New,"Cincinnati, OH"
Subaru,WRX,2024,33800,22250,Third-Party Certified,"Cincinnati, OH"
Audi,A4,2024,25320,50197,Used,"West Chester, OH"
Honda,Odyssey,2022,29330,63298,Used,"Cincinnati, OH"
Cadillac,Escalade,2019,28530,105526,Used,"Cincinnati, OH"
Cadillac,Lyriq,2024,40340,21256,Certified,"Cincinnati, OH"
Chevrolet,Equinox,2027,31650,5,New,"Cincinnati, OH"
MAZDA,CX-50,2025,30110,20483,Third-Party Certified,"Cincinnati, OH"
Chevrolet,Silverado 1500,2021,40970,43397,Used,"Lancaster, OH"
Chevrolet,Equinox,2027,35300,5,New,"Florence, KY"
MAZDA,CX-90,2026,49770,4707,Certified,"Cincinnati, OH"
Toyota,Highlander,2022,36292,54552,Used,"Fairfield, OH"
Ford,Mustang,2020,38320,37088,Used,"Florence, KY"
Honda,Civic,2025,45220,10382,Used,"Florence, KY"
Lexus,ES 350,2022,41020,21063,Third-Party Certified,"Kendall, FL"
Chevrolet,Traverse,2027,53000,5,New,"Florence, KY"
Toyota,Camry,2024,27560,59377,Certified,"Florence, KY"
Ford,F150,2019,27799,44210,Used,"Lake City, FL"
Lincoln,Nautilus,2022,27320,42411,Used,"Cincinnati, OH"
Dodge,Durango,2025,43700,21359,Used,"Cincinnati, OH"
Ford,Bronco,2024,43147,23000,Used,"Cincinnati, OH"
Kia,Sorento,2024,33770,35602,Used,"Fairfield, OH"
Honda,Odyssey,2025,32630,59217,Used,"Milford, OH"
Toyota,Highlander,2022,34140,52273,Used,"Florence, KY"
RAM,1500,2025,46680,14693,Used,"Lawrenceburg, IN"
BMW,X3,2023,35120,35292,Used,"Florence, KY"
BMW,430i Gran Coupe,2022,31314,49255,Used,"Fairfield, OH"
Ford,F150,2019,24291,100365,Used,"Cincinnati, OH"
Buick,Enclave,2027,49650,4,New,"Hamilton, OH"
Toyota,4Runner,2021,38930,60885,Certified,"Florence, KY"
Kia,Telluride,2027,50250,0,New,"Cincinnati, OH"
Ford,F150,2023,39180,34534,Used,"Cincinnati, OH"
Subaru,Crosstrek,2024,25840,33189,Certified,"Cincinnati, OH"
Ford,F150,2023,42175,29374,Certified,"Cincinnati, OH"
Toyota,Tacoma,2024,44530,7902,Used,"Stonecrest, GA"
Toyota,RAV4,2022,25720,51158,Used,"Fairfield, OH"
Kia,Carnival,2022,32525,45115,Certified,"Florence, KY"
Cadillac,XT6,2023,39210,34181,Certified,"Cincinnati, OH"
Honda,HR-V,2027,32000,1,New,"Florence, KY"
Honda,Odyssey,2019,32900,33732,Used,"Cincinnati, OH"
Chevrolet,Equinox,2027,29000,3,New,"Milford, OH"
Chevrolet,Silverado 1500,2024,44130,27532,Used,"Flemingsburg, KY"
Cadillac,CT4,2022,33180,19165,Used,"Dry Ridge, KY"
BMW,430i xDrive,2026,52022,6041,Certified,"Allentown, PA"
Lexus,IS 350,2026,53950,205,Certified,"Fort Wright, KY"
Chrysler,Pacifica,2024,31120,15647,Used,"Cincinnati, OH"
Genesis,GV80,2026,54110,7112,Used,"Orlando, FL"
GMC,Terrain,2027,47100,0,New,"Batavia, OH"
Kia,Sportage,2027,0,0,New,"Fairfield, OH"
Chevrolet,Silverado 1500,2023,42360,35846,Used,"West Chester, OH"
Chevrolet,Tahoe,2025,50142,61792,Used,"Milford, OH"
GMC,Terrain,2027,39500,4,New,"Batavia, OH"
Audi,A5,2025,47451,2393,Certified,"Cincinnati, OH"
Jeep,Grand Cherokee,2024,36400,11161,Used,"Dayton, OH"
Mercedes-Benz,GLA 250,2023,30220,26029,Used,"Fort Wright, KY"
Acura,RDX,2023,33320,28342,Used,"Montgomery, OH"
Chevrolet,Equinox,2027,29600,5,New,"Florence, KY"
Kia,Carnival,2027,52000,0,New,"Cincinnati, OH"
GMC,Terrain,2027,40800,0,New,"Batavia, OH"
Chevrolet,Silverado 1500,2022,41646,51432,Used,"Cincinnati, OH"
Toyota,Prius,2025,33380,9533,Used,"Dayton, OH"
Mercedes-Benz,GLC 300,2022,36710,14860,Certified,"Ft Mitchell, KY"
Kia,Sportage,2026,30090,24,Certified,"Florence, KY"
Chevrolet,Silverado 1500,2023,40760,59104,Certified,"Cincinnati, OH"
Dodge,Durango,2023,41570,30795,Used,"Dayton, OH"
Jeep,Grand Cherokee L,2023,33800,27222,Used,"Mt Orab, OH"
Toyota,Highlander,2025,54520,4820,Used,"Triadelphia, WV"
Jeep,Gladiator,2022,29720,40049,Used,"Cincinnati, OH"
Chevrolet,Silverado 1500,2023,46520,33730,Used,"Cincinnati, OH"
Jeep,Grand Cherokee L,2023,31309,45309,Used,"Cincinnati, OH"
Kia,Carnival,2027,48100,0,New,"Cincinnati, OH"
GMC,Sierra 1500,2024,43640,50600,Used,"Cincinnati, OH"
Kia,Carnival,2027,52000,0,New,"Cincinnati, OH"
GMC,Sierra 1500,2021,38943,70233,Used,"Baxley, GA"
Hyundai,Santa Fe,2027,0,5,New,"Batavia, OH"
Chevrolet,TrailBlazer,2024,24935,13616,Used,"Cincinnati, OH"
RAM,1500,2021,31910,44726,Used,"Beavercreek, OH"
Jeep,Wrangler,2025,26224,66342,Used,"Loveland, OH"
Ford,F150,2021,39482,69054,Used,"Alexandria, KY"
Toyota,RAV4,2024,33140,56193,Certified,"Florence, KY"
INFINITI,QX50,2023,34020,10105,Used,"Fort Wright, KY"
GMC,Sierra 2500,2020,31298,215242,Used,"Cincinnati, OH"
GMC,Terrain,2027,47850,4,New,"Batavia, OH"
RAM,1500,2020,32070,77570,Used,"Fairfield, OH"
Ford,Mustang Mach-E,2023,33930,35143,Certified,"Cincinnati, OH"
Chrysler,Pacifica,2025,34110,33666,Used,"Cincinnati, OH"
GMC,Acadia,2027,53000,3,New,"Batavia, OH"
Kia,Telluride,2027,52550,0,New,"Cincinnati, OH"
Hyundai,Santa Cruz,2027,0,5,New,"Batavia, OH"
Jeep,Wrangler,2021,0,32566,Used,"Cincinnati, OH"
Audi,Q3,2025,42310,6360,Certified,"Cincinnati, OH"
Toyota,Highlander,2022,31350,85732,Used,"Cincinnati, OH"
Chevrolet,Silverado 1500,2022,43210,51000,Used,"Florence, KY"
Chevrolet,Traverse,2024,34060,28853,Used,"Cincinnati, OH"
GMC,Sierra 1500,2023,31400,86347,Used,"Cincinnati, OH"
Hyundai,Santa Fe,2027,0,5,New,"Batavia, OH"
Ford,Explorer,2022,29044,46006,Used,"Florence, KY"
Chevrolet,Silverado 1500,2026,,22399,Used,"Cincinnati, OH"
Jeep,Wrangler,2022,25250,61002,Used,"Cincinnati, OH"
Toyota,4Runner,2020,35810,61496,Used,"Cincinnati, OH"
Chevrolet,Equinox,2027,32850,7,New,"Florence, KY"
Toyota,Camry,2024,25234,62982,Certified,"Florence, KY"
Honda,HR-V,2027,30250,0,New,"Cincinnati, OH"
Nissan,Murano,2027,0,0,New,"Fairfield, OH"
Honda,Passport,2023,34760,39928,Certified,"Florence, KY"
Mercedes-Benz,GLC 300,2026,51270,4122,Certified,"Cincinnati, OH"
Honda,Civic,2024,25590,27037,Used,"Fairfield, OH"
Kia,Sportage,2027,0,5,New,"Cincinnati, OH"
Nissan,Armada,2023,42010,22741,Used,"Fairfield, OH"
Toyota,RAV4,2019,24300,58106,Used,"Florence, KY"
Acura,MDX,2023,36876,53006,Certified,"Fairfield, OH"
Toyota,Avalon,2021,27674,75410,Used,"Florence, KY"
Nissan,Titan,2022,41290,40272,Used,"Springdale, OH"
GMC,Sierra 1500,2022,40480,88938,Used,"Saint Augustine, FL"
Chevrolet,Equinox,2027,34100,5,New,"Florence, KY"
Mercedes-Benz,GLC 300,2022,30470,52270,Certified,"Ft Mitchell, KY"
Toyota,Tundra,2023,37990,44701,Used,"Cincinnati, OH"
Chevrolet,Equinox,2027,29700,5,New,"Florence, KY"
Honda,HR-V,2027,30250,0,New,"Cincinnati, OH"
Ford,Mustang,2022,33440,1378,Used,"Covington, KY"
Chevrolet,Equinox,2027,33300,5,New,"Florence, KY"
Tesla,Model Y,2024,39490,6233,Used,"West Chester, OH"
MAZDA,CX-30,2024,29110,24102,Certified,"Cincinnati, OH"
Chevrolet,Equinox,2027,35050,5,New,"Wilmington, OH"
Cadillac,XT6,2025,0,8439,Used,"Florence, KY"
Ford,F150,2024,41630,25312,Certified,"Milford, OH"
Ford,E-450 and Econoline 450,2027,0,222,New,"Lebanon, OH"
Toyota,Tacoma,2026,48907,3813,Used,"Greendale, IN"
Kia,Telluride,2027,50050,0,New,"Cincinnati, OH"
Jeep,Wagoneer L,2025,51380,15994,Used,"Lawrenceburg, IN"
Toyota,Highlander,2022,42950,47452,Used,"Miamisburg, OH"
RAM,1500,2021,30108,75579,Used,"Cincinnati, OH"
Lexus,NX 350,2024,39950,21563,Used,"West Chester, OH"
Jeep,Wrangler,2019,26940,90254,Used,"Florence, KY"
Jeep,Grand Cherokee,2022,26570,28251,Used,"Harrison, OH"
Honda,HR-V,2027,30250,0,New,"Cincinnati, OH"
Ford,F150,2022,41676,23900,Used,"Bradenton, FL"
Chevrolet,Equinox,2027,29450,5,New,"Florence, KY"
Ford,Transit 350,2021,43916,10208,Used,"Scottsdale, AZ"
Subaru,Ascent,2023,30357,39770,Used,"West Chester, OH"
Audi,e-tron GT,2023,48490,30342,Used,"Lawrenceburg, IN"
Honda,Civic,2024,25180,25089,Used,"Cincinnati, OH"
Chevrolet,Silverado 1500,2023,39633,25255,Used,"Dry Ridge, KY"
Jeep,Grand Cherokee L,2022,30364,49924,Certified,"Cincinnati, OH"
Land Rover,Range Rover,2021,34726,73876,Used,"Cincinnati, OH"
Acura,MDX,2023,40280,43012,Third-Party Certified,"Cincinnati, OH"
Jeep,Grand Cherokee,2023,31369,21056,Third-Party Certified,"Cincinnati, OH"
Kia,Telluride,2027,51850,0,New,"Cincinnati, OH"
Chevrolet,Equinox,2027,30500,5,New,"Cincinnati, OH"
Ford,Explorer,2022,33991,20350,Certified,"Cincinnati, OH"
Chrysler,Pacifica,2025,29520,71943,Used,"Milford, OH"
Kia,Telluride,2023,30260,87074,Used,"Cincinnati, OH"
Kia,Telluride,2023,,67432,Used,"Cincinnati, OH"
Chevrolet,Equinox,2027,30950,5,New,"Florence, KY"
BMW,330i xDrive,2023,34700,34147,Used,"Fairfield, OH"
Ford,F150,2023,41270,32140,Certified,"Cincinnati, OH"
Chevrolet,Traverse,2023,30640,31452,Used,"Alexandria, KY"
Land Rover,Range Rover Velar,2023,40040,23123,Certified,"Cincinnati, OH"
Jeep,Gladiator,2023,40290,11431,Used,"Hamilton, OH"
Ford,Excursion,2003,19800,51827,Used,"Largo, FL"
Honda,CR-V,2026,38680,7355,Certified,"Cincinnati, OH"
Chevrolet,Silverado 1500,2024,43670,29715,Used,"Greendale, IN"
Chevrolet,Equinox,2024,24830,27649,Used,"Cincinnati, OH"
MAZDA,CX-90,2026,36330,7194,Certified,"Florence, KY"
Ford,F150,2022,37190,26500,Used,"Miamisburg, OH"
BMW,X5,2022,42973,32858,Used,"Cincinnati, OH"
Ford,Bronco,2022,41680,25653,Used,"West Harrison, IN"
Honda,HR-V,2027,32050,0,New,"Cincinnati, OH"
Buick,Enclave,2023,29500,42207,Used,"Florence, KY"
Ford,F150,2025,35560,51490,Used,"Alexandria, KY"
Chevrolet,Colorado,2023,32907,40907,Used,"Florence, KY"
Chevrolet,Suburban,2022,43790,61673,Used,"Cincinnati, OH"
Jeep,Wrangler,2020,34670,40071,Used,"Cincinnati, OH"
Chevrolet,Equinox,2027,32850,5,New,"Florence, KY"
Ford,Bronco,2024,48185,33823,Certified,"Cincinnati, OH"
Chevrolet,Camaro,2013,,26320,Used,"Fredericksburg, VA"
Chevrolet,Silverado 1500,2022,37130,61735,Used,"Milford, OH"
Subaru,Crosstrek,2022,23615,33561,Used,"Cincinnati, OH"
Hyundai,Santa Fe,2026,32520,21794,Used,"Loveland, OH"
Acura,RDX,2022,30390,70144,Used,"Cincinnati, OH"
Honda,HR-V,2027,34100,7,New,"Cincinnati, OH"
Honda,CR-V,2023,32680,56546,Certified,"Cincinnati, OH"
Honda,Pilot,2025,47620,22232,Used,"Cincinnati, OH"
Kia,Telluride,2027,47550,0,New,"Cincinnati, OH"
Ford,Ranger,2024,34480,27007,Used,"Ft. Thomas, KY"
Ford,F150,2021,38790,55220,Certified,"Milford, OH"
RAM,1500,2025,49197,16240,Used,"Cincinnati, OH"
Toyota,Camry,2024,29870,17665,Certified,"Cincinnati, OH"
Kia,Telluride,2027,50600,5,New,"Florence, KY"
BMW,X3,2026,51710,4587,Certified,"Cincinnati, OH"
Kia,Sportage,2027,36700,0,New,"Cincinnati, OH"
Subaru,WRX,2023,31200,16411,Used,"Cincinnati, OH"
Hyundai,Santa Fe,2027,0,9,New,"Alexandria, KY"
GMC,Terrain,2027,32900,5,New,"Cincinnati, OH"
Jeep,Grand Cherokee L,2022,32857,74030,Used,"Cincinnati, OH"
