property_type,bed,bath,price,acre_lot,city,state,zip_code,house_size
residential,3,3,949900,0.18,Bourne,Massachusetts,2532,1697
residential,6,3,515000,0.09,Paterson,New Jersey,7514,3267
residential,4,4,1279000,0.71,Bryn Mawr,Pennsylvania,19010,3178
residential,2,2,637000,0.07,East Haven,Connecticut,6512,1339
residential,3,2,379000,1.0,Guilford,Maine,4443,1500
residential,3,2,299900,1.28,Monroeville,New Jersey,8343,1882
residential,3,3,579900,2.4,Houlton,Maine,4730,2992
residential,3,2,199900,1.21,Marlborough,Connecticut,6447,1949
residential,3,1,285000,0.17,Croydon,Pennsylvania,19021,990
residential,5,3,299900,0.52,Winchester,Connecticut,6098,3117
residential,2,2,469900,0.36,Tiverton,Rhode Island,2878,1141
residential,8,6,649900,0.18,East Providence,Rhode Island,2915,4832
residential,3,4,1299000,1.05,Westport,Connecticut,6880,2598
residential,3,2,239000,0.04,Philadelphia,Pennsylvania,19136,1152
residential,3,1,299900,0.04,Philadelphia,Pennsylvania,19128,1616
residential,4,3,1599000,2.21,Dover,Massachusetts,2030,3649
residential,4,2,549900,0.35,Trumbull,Connecticut,6611,2004
residential,1,1,128000,0.01,Little Egg Harbor,New Jersey,8087,680
residential,3,1,99000,0.02,Philadelphia,Pennsylvania,19143,1320
residential,3,3,350000,0.72,Millinocket,Maine,4462,2268
residential,3,1,450000,9.59,East Hampton,Connecticut,6424,2014
residential,3,2,299900,0.23,West Warwick,Rhode Island,2893,1209
residential,3,3,1374000,0.07,Newport,Rhode Island,2840,3846
residential,5,2,2699000,0.15,Brooklyn,New York,11213,2400
residential,6,3,449000,0.07,Elizabeth City,New Jersey,7206,4535
residential,4,3,699900,0.28,Bensalem,Pennsylvania,19020,3088
residential,4,3,375000,0.4,Mickleton,New Jersey,8056,2024
residential,4,3,414900,0.17,South Amboy,New Jersey,8879,1584
residential,6,6,379999,0.04,Philadelphia,Pennsylvania,19132,2072
residential,5,5,550000,0.25,Philadelphia,Pennsylvania,19144,4170
residential,4,3,374900,2.14,Seekonk,Massachusetts,2771,3402
residential,3,1,459000,0.06,Yonkers,New York,10704,924
residential,5,4,1299000,0.05,Brooklyn,New York,11223,2720
residential,2,2,487500,0.21,Lakewood,New Jersey,8701,1726
residential,3,3,269000,0.07,Swedesboro,New Jersey,8085,1848
residential,9,3,420000,0.11,Fall River,Massachusetts,2720,2952
residential,3,2,275000,3.5,Middletown,Connecticut,6457,1746
residential,4,2,479900,0.29,Trumbull,Connecticut,6611,1229
residential,1,1,209000,0.05,Pomona,New York,10970,934
residential,3,2,399900,0.59,Lunenburg,Massachusetts,1462,1248
residential,2,3,394900,0.02,Philadelphia,Pennsylvania,19146,1200
residential,2,1,164000,0.17,New Haven,Connecticut,6513,906
residential,3,2,549000,0.03,New Haven,Connecticut,6511,1316
residential,5,3,699900,0.46,Marlboro,New Jersey,7746,2586
residential,2,3,224900,0.02,Philadelphia,Pennsylvania,19146,1527
residential,3,3,350000,0.07,Philadelphia,Pennsylvania,19128,1816
residential,3,1,245000,0.1,Cranston,Rhode Island,2905,1133
residential,4,2,500000,0.1,Clifton,New Jersey,7011,1500
residential,10,6,3198000,0.07,Ocean City,New Jersey,8226,3459
residential,3,3,549900,2.19,New Ipswich,New Hampshire,3071,1912
residential,3,1,85500,0.8,Smyrna Mills,Maine,4780,858
residential,4,3,499900,0.81,Washingtonville,New York,10992,2339
